index,date,pattern,trend,type,signal
38,2025-01-08 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
40,2025-01-13 00:00:00,Hammer,Wzrostowa,Odwrócenie wzrostowe,100
41,2025-01-14 00:00:00,Engulfing,Spadkowa,Kontynuacja spadkowa,-100
44,2025-01-17 00:00:00,Harami,Wzrostowa,Kontynuacja wzrostowa,100
45,2025-01-21 00:00:00,Hammer,Wzrostowa,Odwrócenie wzrostowe,100
46,2025-01-22 00:00:00,Marubozu,Wzrostowa,Kontynuacja wzrostowa,100
47,2025-01-23 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
51,2025-01-29 00:00:00,Marubozu,Wzrostowa,Kontynuacja wzrostowa,100
52,2025-01-30 00:00:00,Harami,Spadkowa,Kontynuacja spadkowa,-100
55,2025-02-04 00:00:00,Marubozu,Wzrostowa,Kontynuacja wzrostowa,100
55,2025-02-04 00:00:00,Engulfing,Wzrostowa,Kontynuacja wzrostowa,100
56,2025-02-05 00:00:00,Harami,Spadkowa,Kontynuacja spadkowa,-100
59,2025-02-10 00:00:00,Harami,Wzrostowa,Kontynuacja wzrostowa,100
60,2025-02-11 00:00:00,Three Inside Up/Down,Wzrostowa,Kontynuacja wzrostowa,100
61,2025-02-12 00:00:00,Marubozu,Wzrostowa,Kontynuacja wzrostowa,100
64,2025-02-18 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
64,2025-02-18 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
65,2025-02-19 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
65,2025-02-19 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
67,2025-02-21 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
67,2025-02-21 00:00:00,Gravestone Doji,Wzrostowa,Kontynuacja wzrostowa,100
68,2025-02-24 00:00:00,Engulfing,Wzrostowa,Kontynuacja wzrostowa,100
69,2025-02-25 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
71,2025-02-27 00:00:00,Inverted Hammer,Wzrostowa,Odwrócenie wzrostowe,100
72,2025-02-28 00:00:00,Engulfing,Wzrostowa,Kontynuacja wzrostowa,100
72,2025-02-28 00:00:00,Morning Star,Wzrostowa,Odwrócenie wzrostowe,100
75,2025-03-05 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
75,2025-03-05 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
76,2025-03-06 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
82,2025-03-14 00:00:00,Harami,Wzrostowa,Kontynuacja wzrostowa,100
83,2025-03-17 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
83,2025-03-17 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
84,2025-03-18 00:00:00,Engulfing,Spadkowa,Kontynuacja spadkowa,-100
85,2025-03-19 00:00:00,Shooting Star,Spadkowa,Odwrócenie spadkowe,-100
86,2025-03-20 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
86,2025-03-20 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
87,2025-03-21 00:00:00,Marubozu,Wzrostowa,Kontynuacja wzrostowa,100
88,2025-03-24 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
88,2025-03-24 00:00:00,Hanging Man,Spadkowa,Odwrócenie spadkowe,-100
88,2025-03-24 00:00:00,Dragonfly Doji,Wzrostowa,Odwrócenie wzrostowe,100
88,2025-03-24 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
90,2025-03-26 00:00:00,Harami,Spadkowa,Kontynuacja spadkowa,-100
91,2025-03-27 00:00:00,Engulfing,Wzrostowa,Kontynuacja wzrostowa,100
93,2025-03-31 00:00:00,Engulfing,Wzrostowa,Kontynuacja wzrostowa,100
94,2025-04-01 00:00:00,Three Outside Up/Down,Wzrostowa,Kontynuacja wzrostowa,100
99,2025-04-08 00:00:00,Engulfing,Spadkowa,Kontynuacja spadkowa,-100
100,2025-04-09 00:00:00,Engulfing,Wzrostowa,Kontynuacja wzrostowa,100
101,2025-04-10 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
101,2025-04-10 00:00:00,Harami,Spadkowa,Kontynuacja spadkowa,-100
104,2025-04-15 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
104,2025-04-15 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
106,2025-04-17 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
106,2025-04-17 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
107,2025-04-21 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
107,2025-04-21 00:00:00,Hammer,Wzrostowa,Odwrócenie wzrostowe,100
107,2025-04-21 00:00:00,Dragonfly Doji,Wzrostowa,Odwrócenie wzrostowe,100
107,2025-04-21 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
109,2025-04-23 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
112,2025-04-28 00:00:00,Doji,Wzrostowa,Kontynuacja wzrostowa,100
112,2025-04-28 00:00:00,Spinning Top,Wzrostowa,Kontynuacja wzrostowa,100
116,2025-05-02 00:00:00,Spinning Top,Spadkowa,Kontynuacja spadkowa,-100
